productID,product_name,product_description,start_price,reserve_price,quantity,categoryID,conditionID,sellerID,auctionable,startdate,enddate,endtime
1,macbook pro,macbook pro 15 inches brand new,1300,1300,2,1,1,1,0,2019-02-01,2019-03-12,18:00:00
2,mackbook pro,macbook pro industry restored,650,650,3,1,3,2,1,2019-02-20,2019-03-12,19:00:00
3,samsung phone,samsung black galaxy note 8,650,650,4,1,1,3,0,2019-02-01,2019-03-13,10:00:00
4,macbook air,macbook air. Used but looks new,400,400,2,1,2,4,1,2019-03-01,2019-03-15,14:00:00
7,Japanese seaweed,"8 packs of japanese seaweed, directly imported from Asia",5.5,6.5,50,2,1,1,1,2019-02-01,2019-03-13,15:00:00
8,Jeju green tea,Jeju green tea. Directly imported from Asia,4.5,4.5,50,2,1,2,1,2019-02-01,2019-03-15,20:00:00
10,Jeju orange,"Jeju orange, juicy and fresh",1.5,1.5,20,2,1,3,0,2019-02-15,2019-04-20,21:00:00
11,zara zipped skirt,worn once only. Almost new. ,10,15.5,1,3,3,4,1,2019-01-22,2019-04-01,7:00:00
12,grey leather jacket,topshop grey real leather jacket (women),50,50,1,3,3,1,1,2019-02-25,2019-04-20,15:00:00
13,white coffee table,perfect for your home.,10.5,12,20,4,2,2,1,2019-03-01,2019-04-20,20:00:00
14,nespresso Essenza,nespresso Essenza Mini Intense Grey,50.99,70,5,4,2,3,1,2019-01-01,2019-04-01,18:00:00
15,Loreal cream,Loreal night beauty cream,50.99,50.99,5,5,1,4,0,2019-01-10,2019-04-01,13:00:00
16,hand cream,hand cream gift pack (10 per pack),20.5,20.5,20,5,1,1,1,2019-03-01,2019-05-08,12:00:00
17,Pure gym,Pure gym membership (three months),99,99,1,6,1,2,1,2019-02-20,2019-05-08,10:00:00
18,Bicycle,"Brand-New Bicycle, Blue, 7 Speed, 19""",100,115,1,6,2,3,1,2019-02-24,2019-03-15,14:00:00
20,Nintendo,Nintendo Classic Mini: Super Nintendo Entertainment System - Grey,49,49,3,7,3,4,1,2019-03-03,2019-03-15,15:00:00
21,Frozen Doll,Disney Frozen Classic Fashion Elsa Doll,10.99,10.99,30,7,1,1,0,2019-01-15,2019-03-20,20:00:00
22,Spotify plan,6-month premium plan for Spotify,20.15,20.15,2,8,1,2,1,2019-02-14,2019-04-15,10:00:00
23,iTunes giftcard,iTunes Gift Card for downloading music album,20,25,5,8,1,3,1,2019-02-28,2019-03-31,14:00:00
24,Malta travel,"5-day travel package (5-star hotel+flight) for Malta, departing from London",210,250,10,9,1,4,1,2019-02-27,2019-03-13,14:00:00
25,Sony headphone,sony white headphones with speaker for Android,49.99,55,15,8,3,1,1,2019-02-23,2019-03-12,18:00:00
27,Rome travel,"3-day travel package (4-star hotel+flight) for Rome, departing from London",100,110,1,9,1,4,1,2019-03-10,2019-04-01,18:00:00
